filename,Not Working,Working
1710175823971_jpg.rf.024a6c32d581b62cb9af33d1483aba3c.jpg,0,1
1710175823983_jpg.rf.1bf4fd1a9b350dae7c3aa0cd2b1807b3.jpg,0,1
20240309_190827_jpg.rf.cdb402166997ddd2da9652a7bd7f424c.jpg,1,0
1710175823931_jpg.rf.525c164a76338327bce1092b76d9943d.jpg,0,1
20240305_191802_jpg.rf.964912d95cefe4c7758ab8092961d0e4.jpg,1,0
20240305_193727_jpg.rf.202fcd6c5764391924a66d29aa602975.jpg,0,1
1710161617721_jpg.rf.d528f605b607606bbea2de9174329964.jpg,1,0
20240305_193619_jpg.rf.4e7b41dd7ad247ad0bccbecc7e0d3ca7.jpg,1,0
20240309_191055_jpg.rf.a5e7fc703a5270abd1888514cdf32da6.jpg,0,1
WhatsApp-Image-2024-03-09-at-20_40_35_42419255_jpg.rf.f4af441ce71cb8462e6526da1a00a934.jpg,1,0
1710161570287_jpg.rf.6a0d0575e2e246edc692a75682791107.jpg,0,1
IMG_20240301_065526_jpg.rf.d39c67b6adb93c1fa80f370ff1867f82.jpg,1,0
1710161617748_jpg.rf.00d4910a9a695e4b22ea01fbc42807d0.jpg,1,0
1709693388274_jpg.rf.7fec8a7d301eebe54630afb779398048.jpg,1,0
1710175824051_jpg.rf.9a527628865033af35a27ae9a5877692.jpg,0,1
1710161570127_jpg.rf.90bc9c05dae7fe2d4c04bbfeadb35fbc.jpg,0,1
1710175965844_jpg.rf.acd0a877d648705d0567711426746be3.jpg,1,0
1710175824051_jpg.rf.5f61abcbfa0ce3a5e6a4619edd6881f0.jpg,0,1
20240309_193331_jpg.rf.c7f44ab5e1f6a7ce479c334dc61d2447.jpg,0,1
IMG-20240303-WA0027_jpg.rf.9d49a61793b9c753ea02390f6013cb39.jpg,0,1
1710161570238_jpg.rf.4d4a36a545b52dc9ad3fd9e1280d6856.jpg,0,1
1710175823794_jpg.rf.d9e7a1786e0184790a43ec8ba35c34d0.jpg,0,1
IMG-20240303-WA0042_jpg.rf.e72190f39016f1922234f4dc6e197a69.jpg,0,1
IMG_20240301_065526_jpg.rf.e1e287518c7d0497545304bcc90c8c6c.jpg,1,0
20240309_191907_jpg.rf.09c6f8b012cbe7d78cb122534e9b58af.jpg,1,0
1710175965744_jpg.rf.d7672de36e9263cf7df5347e9358eb31.jpg,1,0
1710161570287_jpg.rf.4f2724fc6f7fee781488bbcecf575dca.jpg,0,1
1709693360534_jpg.rf.ea76b4f267c4a715a78332a370cac37b.jpg,0,1
1710175823629_jpg.rf.094bb9b6990b2bdb4a35c62b230457c9.jpg,0,1
20240309_191406_jpg.rf.aa2b808ced6169837ce58a370e82780a.jpg,0,1
20240305_193619_jpg.rf.7cb57deea2a899c4bbc8520a95c01b90.jpg,1,0
20240305_193403_jpg.rf.970e933965064a41d11ac91ed827fcdd.jpg,1,0
20240309_191838_jpg.rf.02049811e0e098cad66be070416f2bd9.jpg,1,0
1710175823805_jpg.rf.2695dcd29f669de82f30dacb9c609ed8.jpg,0,1
1710175823637_jpg.rf.4d17129a66d48148898f86ec7b0bc9d3.jpg,0,1
20240309_191406_jpg.rf.1f5ee4d9a9e9b368e94c94a4b10c67f1.jpg,0,1
1710161569996_jpg.rf.8cf6b81216090719fa932e51c9aafe9d.jpg,0,1
20240309_192951_jpg.rf.d589f2784c6fc03c2cbba4f073a6d355.jpg,1,0
1710175824090_jpg.rf.e9518c18cc554f1ece85fe7a8885917f.jpg,0,1
1710161570127_jpg.rf.7bb1b19ba4593e7d0aced810e82cf51b.jpg,0,1
IMG-20240309-WA0039_jpg.rf.fad28b9e3f4adffb981ed69a4f86df63.jpg,1,0
20240305_193727_jpg.rf.a4d9fe2c5de07ef1813e12fefffe265d.jpg,0,1
1709693360435_jpg.rf.1ef8e6054da32d17980888a58a1a352c.jpg,0,1
20240309_190827_jpg.rf.4b20675d940f778568ed59717eb97fdb.jpg,1,0
1710175965896_jpg.rf.14e0b5fcd8a7a0f5b1909c525ea960c1.jpg,1,0
1710175823960_jpg.rf.56a6c9d4ea3f3f1d757b32a4cf47f4f4.jpg,0,1
IMG_20240301_065553_jpg.rf.cecede79483715312c225e8e9e518094.jpg,1,0
20240305_192751_jpg.rf.1c78bed66439c8708905c3354c2281b6.jpg,1,0
1709693360534_jpg.rf.5234860b9a0dc1f010785323126781ae.jpg,0,1
IMG-20240303-WA0076_jpg.rf.10fba11e7d77452f3a3604d0efc35b36.jpg,1,0
1710175823805_jpg.rf.77f6d72de79807d9666321c4a8b2054a.jpg,0,1
IMG-20240228-WA0008_jpg.rf.8b1e1a9cb8b091692435caef755a9f31.jpg,1,1
1709693360468_jpg.rf.96126a4c6d926164eb3c3bce8c1b7a3c.jpg,0,1
20240305_191648_jpg.rf.b5c6f759b6ef5b1224e64cff07102954.jpg,1,0
1710175965814_jpg.rf.bc3d9ef9afc306d21edcaac3173e097b.jpg,1,0
IMG_20240301_065553_jpg.rf.fae146b0aa36809be0202e7ba199561c.jpg,1,0
1709693294375_jpg.rf.2fd38807c9b6b06cf91fd836ac75584a.jpg,1,0
IMG-20240303-WA0022_jpg.rf.2c3452572d40d50226261dd04309b2ea.jpg,0,1
1710175965814_jpg.rf.6515f35267423bb890f37b8ec1bf84eb.jpg,1,0
20240305_193403_jpg.rf.2e8079775dcf011ad72276af57b87d7f.jpg,1,0
20240305_193102_jpg.rf.e41fcd9d0bdd592839936eec6b189a6f.jpg,1,0
1710161570177_jpg.rf.ad7917652edecc81595c9d59004e70a5.jpg,1,1
20240302_051214_jpg.rf.e3c90239f123dd561dc219330a71d9c0.jpg,1,0
20240309_192108_jpg.rf.766236870ccabb795d37b5901bf45aa8.jpg,1,0
20240305_192332_jpg.rf.38d2cd67e9ea3c2ce9606ef033f54217.jpg,0,1
20240305_193102_jpg.rf.1bb0292c48d76bdcbc7ff79d22a30cf9.jpg,1,0
20240309_190209_jpg.rf.431a02df16b6720d173b7941f38a44a0.jpg,1,0
20240305_192648_jpg.rf.e38aa216d5f60af76df1b4359d53339d.jpg,1,0
IMG-20240303-WA0077_jpg.rf.fadbad14727c0af465ec6a645ce25950.jpg,1,0
1710161570078_jpg.rf.19ec0be1a7bf80a18ff16612d8c15cce.jpg,0,1
1710175823983_jpg.rf.ead44dc89aec811a12e974352ac93228.jpg,0,1
20240305_191648_jpg.rf.4b3d4188704ff16951867c375435d735.jpg,1,0
IMG-20240303-WA0072_jpg.rf.aadf3ed4a5e7dcecced93f129fb851ad.jpg,1,1
1710175823960_jpg.rf.2c35027644620aaef91925634af815a8.jpg,0,1
1710175823689_jpg.rf.f22d5fe3974170d352a928a3697e8a47.jpg,0,1
1710175823637_jpg.rf.0c4bbb326b552a51d9a85403b2491279.jpg,0,1
1710175965954_jpg.rf.faf6638e9ec842bed4989e2cb4d310ab.jpg,1,0
fault-2-a_jpg.rf.b2f63a43faf8d1e0cb4d7487d5a086f3.jpg,1,0
20240229_184001_jpg.rf.848dc0d3d6701f44304fde9132bacaee.jpg,0,1
1710161569996_jpg.rf.c8d5b942083718bebbf5b25376c145de.jpg,0,1
1710175966012_jpg.rf.1c043c2e588c251fb8991b11c0717d17.jpg,1,0
20240309_191907_jpg.rf.af6f899eb0ff4dc3e47f5ed6f21790f2.jpg,1,0
